date,close
01/01/15,53
01/02/15,46
01/03/15,53
01/04/15,57
01/05/15,55
01/06/15,50
01/07/15,64
01/08/15,51
01/09/15,59
01/10/15,52
01/11/15,50
01/12/15,50
